SubjectID,Experimenter,Block Number,Trial Number,Accuracy,Response Time
90,ar,1,1,Correct,1.3184057920000214
90,ar,1,2,Correct,1.0300777080001353
90,ar,1,3,Correct,1.3210172910000892
90,ar,1,4,Correct,1.132880084000135
90,ar,1,5,Correct,1.1610133750000386
90,ar,1,6,Correct,1.1670632080001724
90,ar,1,7,Correct,0.9959987089998776
90,ar,1,8,Correct,1.1108431669999845
90,ar,1,9,Correct,1.1909824580000077
90,ar,1,10,Correct,1.4525809999997819
90,ar,1,11,Correct,2.0054515409999567
90,ar,1,12,Correct,1.9749120419999144
90,ar,1,13,Correct,1.2008269579998796
90,ar,1,14,Correct,1.1332735420000972
90,ar,1,15,Correct,1.2255703329999506
90,ar,2,1,Correct,1.4947084579998773
90,ar,2,2,Correct,1.0328743329998815
90,ar,2,3,Correct,1.132965624999997
90,ar,2,4,Correct,1.0149831669998548
90,ar,2,5,Correct,1.5310496670001612
90,ar,2,6,Correct,1.1380265840000447
90,ar,2,7,Correct,1.0229369169999245
90,ar,2,8,Incorrect,1.1619745410000633
90,ar,2,9,Correct,1.5538362079998933
90,ar,2,10,Correct,1.0369284999999309
90,ar,2,11,Correct,1.2529307079998944
90,ar,2,12,Correct,1.1091428750000887
90,ar,2,13,Correct,1.0388181250000343
90,ar,2,14,Correct,1.200114708000001
90,ar,2,15,Correct,1.2110006670000075
